year,inflow,outflow
1998,189571,189571
1999,209304,209304
2000,224481,224481
2001,247254,247254
2002,269614,269614
2003,290985,290985
2004,324045,324045
2005,362063,362063
2006,399372,399372
2007,444993,444993
2008,483743,483743
2009,530105,530105
2010,566738,566738
2011,605694,605694
2012,650636,650636
2013,680719,680719
2014,731598,731598
2015,767717,767717
2016,788881,788881
2017,833067,833067
2018,896400,896400
2019,944594,944594
2020,941900,941900
2021,1073243,1073243
2022,1212935,1212935
2023,1358845,1358845
2024,954493,954493
2025,897566,897566
