year,internal,international
1998,99282,90289
1999,108804,100500
2000,117597,106884
2001,129113,118141
2002,141409,128205
2003,153682,137303
2004,172790,151255
2005,196356,165707
2006,219655,179717
2007,249717,195276
2008,275969,207774
2009,304494,225611
2010,327078,239660
2011,351470,254224
2012,376768,273868
2013,391314,289405
2014,423589,308009
2015,446467,321250
2016,455479,333402
2017,485810,347257
2018,528896,367504
2019,564026,380568
2020,574978,366922
2021,655580,417663
2022,741889,471046
