year,inflow,outflow,net
1994,0,0,0
1995,0,0,0
1996,0,0,0
1997,3059,3379,-320
1998,4349,4346,3
1999,5797,5691,106
2000,7812,7302,510
2001,11405,10390,1015
2002,16961,14837,2124
2003,23158,19682,3476
2004,33736,28551,5185
2005,49683,43227,6456
2006,64712,58091,6621
2007,84062,77425,6637
2008,102624,96966,5658
2009,120807,115073,5734
2010,132747,128417,4330
2011,148414,142967,5447
2012,159473,155993,3480
2013,160116,156250,3866
2014,174539,172117,2422
2015,180119,178415,1704
2016,177756,173200,4556
2017,190759,184280,6479
2018,208006,201482,6524
2019,230387,222889,7498
2020,246839,240796,6043
2021,292602,280799,11803
2022,353344,333402,19942
2023,399450,383295,16155
2024,348158,341029,7129
2025,378706,373218,5488
