area,pre,shock,post,class
AD.06,-14.778325123152708,221.67487684729062,24.63054187192118,Relative persistent improvement
AE.AJ,43.57418643132929,57.915057915057915,154.44015444015443,Relative persistent improvement
AE.AZ,41.19742823211434,49.0396822146689,75.76067816044883,Relative persistent improvement
AE.DU,40.812751795410755,29.120686635137506,72.69224032229812,"Temporary decline, rebounded"
AE.RK,56.372549019607845,3.063725490196081,134.80392156862746,"Temporary decline, rebounded"
AE.SH,18.33460656990069,32.467532467532465,37.4331550802139,Relative persistent improvement
AF.HER,128.71287128712873,-306.9306930693069,-19.801980198019802,Relative persistent decline
AF.KAB,23.138832997987926,10.060362173038227,5.030181086519114,Relative persistent decline
AF.KAN,21.390374331550802,-80.21390374331551,80.21390374331551,"Temporary decline, rebounded"
AF.NAN,75.47169811320755,23.58490566037736,518.8679245283018,"Temporary decline, rebounded"
AG.04,31.94888178913738,135.78274760383385,0.0,Improvement then reversal
AG.06,93.5251798561151,238.3093525179856,485.61151079136687,Relative persistent improvement
AL.02,0.0,33.574380165289256,-10.330578512396695,Improvement then reversal
AL.03,4.444444444444445,-16.666666666666664,77.77777777777779,"Temporary decline, rebounded"
AL.06,-31.872509960159363,-19.920318725099598,-39.8406374501992,Improvement then reversal
AL.10,-5.2493438320209975,0.0,26.246719160104988,Relative persistent improvement
AL.11,-7.216914006911975,-10.418784305753201,5.590567188452938,"Temporary decline, rebounded"
AL.12,3.7735849056603774,-28.30188679245283,-9.433962264150942,Relative persistent decline
AM.AG,-22.085889570552148,-9.202453987730062,-30.67484662576687,Improvement then reversal
AM.ER,-10.079870157604748,50.2925725024559,-38.44018280442489,Improvement then reversal
AO.LUA,-24.826579043446515,27.38225629791895,20.080321285140567,Relative persistent improvement
AR.A,3.8417210910487896,-23.05032654629274,-24.971187091817132,Relative persistent decline
AR.B,-8.28846270191784,-6.201222094500574,-8.974126283098393,Improvement then reversal
AR.C,-2.4152326919474403,-6.824203173923515,-14.150185992988467,Relative persistent decline
AR.D,-6.442861987114277,1.6954899966090204,6.78195998643608,Relative persistent improvement
AR.E,1.8581604211830296,2.322700526478786,41.80860947661815,Relative persistent improvement
AR.F,49.25053533190578,10.70663811563169,10.70663811563169,Relative persistent decline
AR.G,8.849557522123893,-2.7654867256637186,38.716814159292035,"Temporary decline, rebounded"
AR.H,23.4375,29.296875,39.0625,Relative persistent improvement
AR.J,-5.820721769499418,-13.09662398137369,26.193247962747378,"Temporary decline, rebounded"
AR.K,-7.105427357601002e-16,29.013539651837526,-19.34235976789168,Improvement then reversal
AR.L,16.420361247947454,-33.86699507389163,-16.420361247947454,Relative persistent decline
AR.M,9.691487643353252,-6.460991762235503,-12.114359554191568,Relative persistent decline
AR.N,23.145961265942372,17.71374586679263,-4.7236655644780345,Relative persistent decline
AR.P,-29.644268774703555,-39.52569169960474,69.1699604743083,"Temporary decline, rebounded"
AR.Q,-1.3888888888888888,-19.09722222222222,15.625,"Temporary decline, rebounded"
AR.R,9.931719428926133,1.5518311607697086,32.588454376163874,"Temporary decline, rebounded"
AR.S,7.752766935785703,8.287440517564026,19.24824894401968,Relative persistent improvement
AR.T,-5.629272215520707,-5.361211633829246,-22.785149443774294,Improvement then reversal
AR.U,9.635974304068524,8.02997858672377,-17.844396859386155,Relative persistent decline
AR.V,106.91823899371067,70.75471698113206,94.33962264150942,Relative persistent decline
AR.W,-1.5100037750094373,6.60626651566629,5.662514156285392,Relative persistent improvement
AR.X,3.136762860727729,-11.532216399734295,-7.565133958225699,Relative persistent decline
AR.Y,25.84269662921348,-5.617977528089887,-28.089887640449437,Relative persistent decline
AR.Z,-5.524861878453036,44.889502762430936,41.43646408839779,Relative persistent improvement
AS.E,-2.842170943040401e-15,10.683760683760696,149.57264957264957,Relative persistent improvement
AT.1,36.86635944700461,46.082949308755765,69.12442396313365,Relative persistent improvement
AT.2,9.953872299101723,3.6416605972323373,12.138868657441126,"Temporary decline, rebounded"
AT.3,47.681331747919145,50.535077288941736,71.3436385255648,Relative persistent improvement
AT.4,6.643558636626229,29.426632004621606,-1.805314846909301,Improvement then reversal
AT.5,8.56401384083045,6.4878892733564015,-10.813148788927334,Relative persistent decline
AT.6,-1.4208992606507238,-0.602075957902849,0.6020759579028491,Relative persistent improvement
AT.7,-2.6483604557967735,0.5227027215388371,-0.5227027215388368,Relative persistent improvement
AT.8,4.872766648619383,16.24255549539794,75.79859231185706,Relative persistent improvement
AT.9,-4.007192794803826,-7.053279387372306,12.246353222031036,"Temporary decline, rebounded"
AU.ACT,-23.170931758530184,-19.855916447944008,-33.4919072615923,Improvement then reversal
AU.NSW,4.169893139228743,-5.468870992721078,-11.3442775282639,Relative persistent decline
AU.NT,19.779556092405258,3.0197795560924057,18.873622225577535,Relative persistent decline
AU.QLD,7.795379761864377,-3.086943247735676,-9.566131822653414,Relative persistent decline
AU.SA,12.730516170883144,-54.327680474469474,-34.51950699657122,Relative persistent decline
AU.TAS,7.725321888412017,-9.15593705293276,0.0,Relative persistent decline
AU.VIC,8.780308749859223,4.098172611276336,3.420357802795517,Relative persistent decline
AU.WA,5.158467584027656,-2.531970345563313,11.883380821843815,"Temporary decline, rebounded"
AZ.ABS,16.80672268907563,-147.05882352941177,42.016806722689076,"Temporary decline, rebounded"
AZ.BA,-18.89323644494131,-5.4499720514253776,-11.458915595304639,Relative persistent improvement
AZ.GA,13.88888888888889,52.083333333333336,190.9722222222222,Relative persistent improvement
AZ.NX,21.42857142857143,35.714285714285715,107.14285714285714,Relative persistent improvement
AZ.SM,0.0,26.455026455026456,105.82010582010582,Relative persistent improvement
AZ.SMI,35.39823008849557,44.24778761061947,0.0,Improvement then reversal
BA.BIH,0.6505529700245207,-4.8791472751839065,2.001701446229295,"Temporary decline, rebounded"
BA.SRP,17.52577319587629,1.4727540500736378,-1.4727540500736376,Relative persistent decline
BB.08,-19.620667102681487,55.591890124264225,65.40222367560497,Relative persistent improvement
BD.A,21.779713752333542,28.00248911014313,0.0,Improvement then reversal
BD.B,-3.0596634370219276,-2.913965178116121,2.185473883587091,Relative persistent improvement
BD.C,-5.40997102564925,-8.874063144839678,-12.241930482941484,Relative persistent decline
BD.D,-11.317704122877931,-11.837394618316202,30.026561958655734,"Temporary decline, rebounded"
BD.E,3.7375415282392033,-21.283222591362126,-43.6046511627907,Relative persistent decline
BD.F,21.997836278398847,64.91164803461955,41.47133068878471,Relative persistent improvement
BD.G,0.7178750897343861,10.768126346015793,-17.946877243359655,Improvement then reversal
BD.H,-6.862257583291894,-16.65837891596221,-62.158130283441075,Relative persistent decline
BE.BRU,-7.1188733196492775,0.6229014154693118,-4.923887379424083,Relative persistent improvement
BE.VLG,-3.3061285057130143,3.8284611960231487,-1.8993916011277636,Relative persistent improvement
BE.WAL,-7.709052817650621,-7.529011244414619,-14.485162937623778,Improvement then reversal
BF.01,-31.91489361702127,-66.48936170212765,-53.191489361702125,Relative persistent decline
BF.03,-6.45513228475316,7.0460950995545035,-5.000454586780616,Relative persistent improvement
BF.06,53.097345132743364,110.61946902654867,176.99115044247787,Relative persistent improvement
BF.09,5.427408412483041,-2.2614201718679325,31.659882406151066,"Temporary decline, rebounded"
BG.01,-16.28222523744912,-30.529172320217096,23.744911804613295,"Temporary decline, rebounded"
BG.02,8.149010477299186,-8.731082654249127,11.641443538998836,"Temporary decline, rebounded"
BG.03,-6.544502617801046,-3.6812827225130893,-13.089005235602093,Improvement then reversal
BG.04,10.403120936280883,-22.756827048114435,-32.50975292587776,Relative persistent decline
BG.07,-2.881844380403458,-14.40922190201729,43.227665706051866,"Temporary decline, rebounded"
BG.15,-7.105427357601002e-16,25.03953610964681,-18.45018450184502,Improvement then reversal
BG.16,-1.6541544725792086,-6.0440259575009545,-5.089706069474488,Relative persistent decline
BG.18,6.362672322375398,10.60445387062566,58.324496288441146,Relative persistent improvement
BG.22,-8.950109340126698,-8.059607277318124,7.326915706652839,Relative persistent improvement
BG.23,-50.63291139240506,126.58227848101265,-253.16455696202527,Improvement then reversal
BG.24,13.024602026049205,-10.85383502170767,-9.044862518089726,Relative persistent decline
BG.27,-1.5408320493066257,11.55624036979969,-15.408320493066254,Improvement then reversal
BH.13,10.3991006183249,15.45812254075323,1.4052838673412027,Improvement then reversal
BH.14,-15.1356993736952,43.05845511482255,44.363256784968684,Relative persistent improvement
BH.15,44.37869822485207,130.67061143984222,54.24063116370809,Relative persistent improvement
BH.17,-6.578947368421052,-131.57894736842107,-197.3684210526316,Relative persistent decline
BI.BM,-5.265467310223782,-50.460728389644586,-37.29706011408512,Relative persistent decline
BJ.AQ,168.31683168316832,383.66336633663366,123.76237623762376,Improvement then reversal
BJ.BO,22.123893805309734,15.802781289506953,-34.7661188369153,Relative persistent decline
BJ.LI,-2.4050422955714055,-8.915242992204346,-12.025211477857024,Relative persistent decline
BJ.OU,-33.088235294117645,-73.52941176470588,-18.38235294117647,"Temporary decline, rebounded"
BJ.PL,46.97986577181208,151.00671140939596,-100.67114093959731,Improvement then reversal
BM.GC,-59.1715976331361,-44.37869822485207,-59.1715976331361,Relative persistent improvement
BM.HC,60.24096385542168,45.18072289156626,120.48192771084337,"Temporary decline, rebounded"
BN.BM,15.877287405812703,35.656620021528525,82.07750269106566,Relative persistent improvement
BO.C,-13.452914798206276,15.69506726457399,69.50672645739911,Relative persistent improvement
BO.H,30.56768558951965,-10.91703056768559,21.83406113537118,Relative persistent decline
BO.L,-8.193091231178034,-15.500442869796279,-24.91142604074402,Relative persistent decline
BO.S,-4.317789291882555,-43.17789291882556,43.17789291882556,"Temporary decline, rebounded"
BR.AC,21.85294787161393,12.519918051445481,18.21078989301161,Relative persistent decline
BR.AL,13.61858069628089,-3.7141583717129696,22.037339672163622,"Temporary decline, rebounded"
BR.AM,6.010428690841062,17.31481112924412,33.83353898817816,Relative persistent improvement
BR.AP,21.613832853025936,19.21229586935639,20.41306436119116,Relative persistent decline
BR.BA,5.710235104162565,2.3628559051707168,-0.3281744312737106,Relative persistent decline
BR.CE,2.8993181968623816,-7.0497120540146945,2.1182233401734294,Relative persistent decline
BR.DF,-5.716187830718196,-6.1121887948944575,5.222621411599959,"Temporary decline, rebounded"
BR.ES,6.758624927037571,2.3808792356609625,6.297809591103192,Relative persistent decline
BR.GO,8.140127888274293,-8.434349378211918,2.1576242595425836,Relative persistent decline
BR.MA,19.975899147200597,7.763255469039674,33.602150537634415,"Temporary decline, rebounded"
BR.MG,-1.5286193698472954,-6.513333176148823,-4.951312097705892,Relative persistent decline
BR.MS,19.581090050888708,-0.5531381370307544,25.99749244044546,"Temporary decline, rebounded"
BR.MT,13.32832738877417,0.5631687629059507,12.014266941993618,Relative persistent decline
BR.PA,11.245595779250417,5.613669970973218,7.667451667670738,Relative persistent decline
BR.PB,-5.927151176815189,-8.011992143078672,-20.589958303180673,Relative persistent decline
BR.PE,4.336703617980265,5.816786453892069,7.248142282860275,Relative persistent improvement
BR.PI,7.3135470703291094,-4.996173143974827,0.8504124500382685,Relative persistent decline
BR.PR,1.10408211983767,-3.49128670327047,0.6863213177369301,Relative persistent decline
BR.RJ,-4.76843031741257,-2.673886159296768,-1.1883938485763414,Relative persistent improvement
BR.RN,4.09982174688057,-1.5597147950089125,-1.3368983957219251,Relative persistent decline
BR.RO,27.493337073923406,47.34184317576098,36.470753261326976,Relative persistent improvement
BR.RR,23.9656912209889,12.613521695257317,23.9656912209889,"Temporary decline, rebounded"
BR.RS,-8.024552800607776,-12.086470060087022,-11.805891290835001,Relative persistent decline
BR.SC,4.087319066984911,0.35853676026183423,-5.890246775730135,Relative persistent decline
BR.SE,4.204484783769354,-7.508008542445275,-18.352909770421782,Relative persistent decline
BR.SP,-5.170410226205448,-2.44352823190436,0.6447094032060364,Relative persistent improvement
BR.TO,17.652886607223273,17.562820859227237,29.271368098712063,"Temporary decline, rebounded"
BS.NP,2.656042496679947,19.9203187250996,0.0,Improvement then reversal
BT.15,9.930486593843096,35.99801390268123,-12.413108242303872,Improvement then reversal
BW.CE,91.87279151943463,41.224970553592456,47.11425206124852,Relative persistent decline
BW.GA,-7.90273556231003,-9.878419452887538,10.638297872340425,"Temporary decline, rebounded"
BW.LO,43.16546762589928,71.94244604316546,251.79856115107913,Relative persistent improvement
BW.NW,-15.15151515151515,189.3939393939394,-113.63636363636364,Improvement then reversal
BY.BR,3.220611916264089,12.07729468599034,-8.051529790660224,Improvement then reversal
BY.HM,-9.05627381175442,-15.536193866716633,-7.650989944413216,"Temporary decline, rebounded"
BY.HO,-16.979675842552098,-11.577051710830977,-39.87651144841781,Improvement then reversal
BY.HR,9.953161592505854,1.463700234192037,-2.9274004683840746,Relative persistent decline
BY.MA,-4.801097393689986,-17.146776406035663,-44.58161865569273,Relative persistent decline
BY.MI,22.388059701492534,74.62686567164178,74.62686567164178,Relative persistent improvement
BY.VI,-10.005002501250626,-7.503751875937969,-10.005002501250624,Relative persistent improvement
BZ.BZ,21.62162162162162,-67.56756756756756,81.08108108108108,"Temporary decline, rebounded"
BZ.CY,-25.97402597402597,-24.35064935064935,-16.233766233766232,Relative persistent improvement
CA.AB,-2.712318956519089,-9.104553800675033,-8.380760820705051,Relative persistent decline
CA.BC,-1.4672489082969433,-0.8384279475982532,-1.3973799126637554,Relative persistent improvement
CA.MB,-12.930083811204236,-15.57675341861491,-11.854874283193649,"Temporary decline, rebounded"
CA.NB,-9.544787077826726,8.769782998857888,-4.078968836678087,Relative persistent improvement
CA.NL,2.226551628165878,-5.566379070414696,-20.87392151405511,Relative persistent decline
CA.NS,-2.5511717591219227,-0.4449718184514981,14.090774250964106,Relative persistent improvement
CA.NT,23.172905525846705,40.10695187165775,-44.563279857397504,Improvement then reversal
CA.NU,-6.7340067340067336,42.08754208754209,-134.68013468013467,Improvement then reversal
CA.ON,-4.010012925912544,-5.6946653604169075,-8.223040904739378,Relative persistent decline
CA.PE,5.508630187293426,3.6724201248622848,47.74146162320969,"Temporary decline, rebounded"
CA.QC,-5.68343616516374,-0.2966302800189844,-0.8107894320518905,Relative persistent improvement
CA.SK,-0.06647610184138805,2.326663564448581,-12.464269095260255,Improvement then reversal
CA.YT,72.21006564551422,-54.704595185995615,98.46827133479212,"Temporary decline, rebounded"
CD.HK,11.433597185576078,16.490765171503956,-17.590149516270888,Improvement then reversal
CD.KE,17.391304347826086,21.73913043478261,0.0,Improvement then reversal
CD.KN,9.472259810554803,10.148849797023004,8.269433167944669,Improvement then reversal
CD.NK,-16.853932584269664,-18.726591760299627,-102.99625468164794,Relative persistent decline
CD.SK,20.59732234809475,18.022657054582908,66.94129763130793,"Temporary decline, rebounded"
CD.TO,2.610966057441253,3.263707571801567,-32.637075718015666,Improvement then reversal
CF.BGF,7.070707070707071,30.303030303030305,65.65656565656566,Relative persistent improvement
CG.BZV,18.675352877307272,20.62975027144408,53.20304017372422,Relative persistent improvement
CH.AG,9.924416694051923,3.9434768320736113,15.44528425895498,"Temporary decline, rebounded"
CH.BE,7.480977855453015,14.706195784223876,27.60075875444916,Relative persistent improvement
CH.BL,14.566642388929349,6.372906045156591,19.118718135469774,"Temporary decline, rebounded"
